ProductID,BrandName,Category,sub_category,Segment,Price ,Size_Options,Ratings,Reviews,Description
10017413,Roadster,Bottom Wear,jeans,Men,81.79,7,3.9,999,roadster men navy blue slim fit mid rise clean look jeans
10016283,LOCOMOTIVE,Bottom Wear,track-pants,Men,40.46,7,4,999,locomotive men black  white solid slim fit track pants
10009781,Roadster,Topwear,shirts,Men,6.26,7,4.3,999,roadster men navy white  black geometric printed sustainable casual shirt
10015921,Zivame,Lingerie & Sleep Wear,shapewear,Women,38.99,5,4.2,999,zivame women black saree shapewear zi3023core0nude
10017833,Roadster,Western,tshirts,Women,5.29,5,4.2,999,roadster women white solid v neck pure cotton t shirt
10014361,Mast & Harbour,Western,tops,Women,5.51,5,4.4,999,mast  harbour women yellow solid tank top
10017869,HIGHLANDER,Bottom Wear,trousers,Men,5.01,5,3.9,998,highlander men olive green slim fit solid regular trousers
10009695,Mayra,Western,tops,Women,6.26,7,3.7,998,mayra pink embroidered a line pure cotton top
10000571,Roadster,Western,tshirts,Women,4.62,5,4.3,997,roadster women pack of 2 solid t shirts
10017421,HERE&NOW,Bottom Wear,jeans,Men,120.89,5,3.5,996,herenow men blue slim fit mid rise clean look ankle length stretchable jeans
10000911,HRX by Hrithik Roshan,Sports Wear,tights,Men,17.15,5,4.4,996,hrx by hrithik roshan men rapid dry training tights
10000245,Roadster,Topwear,tshirts,Men,4.38,5,4.1,996,roadster men navy blue  white striped polo collar pure cotton t shirt
10001989,Anubhutee,Indian Wear,kurta-sets,Women,18.77,5,4.2,996,anubhutee women pink  white printed kurta with trousers  dupatta
10016727,Athena,Western,jumpsuit,Women,6.21,4,4.3,996,athena women black solid basic jumpsuit
10017749,Roadster,Western,tshirts,Women,5.24,5,4,996,roadster women maroon solid round neck t shirt
1000795,HIGHLANDER,Topwear,shirts,Men,7.51,6,4.2,995,highlander men blue  black slim fit printed casual shirt
10003803,Vishudh,Indian Wear,kurtas,Women,11.28,5,4.2,995,vishudh women blue  pink floral print a line kurta
10012765,Sangria,Plus Size,kurta-sets,Women,6.26,4,4.3,995,sangria women green  off white printed kurta with palazzos  dupatta
10014413,Tokyo Talkies,Western,trousers,Women,4.17,5,4.1,995,tokyo talkies women olive green regular fit solid cargos
10013483,DressBerry,Western,tshirts,Women,12.18,3,4.3,995,dressberry women lovely olive typography talking tee
10001265,Roadster,Western,tshirts,Women,55.15,3,4.4,994,roadster women pack of 2 printed cotton t shirt
10004155,Anouk,Indian Wear,kurtas,Women,4.87,5,3.8,993,anouk women mustard yellow  gold toned printed straight kurta
10012795,Enamor,Lingerie & Sleep Wear,bra,Women,6.26,4,4.2,993,enamor black non wired removable pads high coverage medium impact sports bra sb08
10009723,all about you,Western,shirts,Women,8.35,7,4.2,993,all about you women mauve stretchable casual shirt
10012853,KASSUALLY,Western,tops,Women,3.75,5,4.3,992,kassually blue floral cinched waist top with puff sleeves
10006001,RARE,Western,tops,Women,16.61,5,4.2,991,rare women maroon striped top
10017377,Zastraa,Western,trousers,Women,8.35,4,4.1,991,zastraa women maroon slim fit peg trousers
10015839,WISSTLER,Western,shorts,Women,7.51,5,4,991,wisstler women navy  pink chevron print regular fit shorts
10003123,Sangria,Plus Size,kurtas,Women,4.87,3,4,990,sangria women black  green printed straight kurta
10012767,Roadster,Western,shorts,Women,6.26,4,4.3,990,roadster women blue solid regular fit denim shorts
10013041,Roadster,Western,tshirts,Women,10.01,5,4.2,990,roadster women green  teal green pack of 2 printed round neck t shirts
10014831,Vishudh,Western,dresses,Women,6.82,3,4.4,990,vishudh women navy blue  green maxi dress
10017831,Cottinfab,Western,jumpsuit,Women,5.42,5,4.3,990,cottinfab olive green solid cold shoulder jumpsuit
10002713,QUIERO,Western,jumpsuit,Women,5.22,6,4.3,990,quiero women maroon wrap detail jumpsuit
10006029,Roadster,Western,tshirts,Women,6.66,5,4.1,990,roadster women rust pink  white colourblocked round neck pure cotton t shirt with twisted detail
10005903,ELEVANTO,Lingerie & Sleep Wear,bath-robe,Women,3.47,5,4.2,989,elevanto women fuchsia pink solid bath robe
10017781,Tokyo Talkies,Western,track-pants,Women,5.36,5,4.3,989,tokyo talkies women black solid casual joggers
10002151,WROGN,Bottom Wear,jeans,Men,29.77,2,4,988,wrogn men blue skinny fit mid rise clean look stretchable jeans
10015989,WROGN,Bottom Wear,jeans,Men,3.47,5,4.1,988,wrogn men black slim fit mid rise clean look stretchable jeans
10001111,HRX by Hrithik Roshan,Sports Wear,track-pants,Men,32.03,4,4,988,hrx by hrithik roshan men olive green camo athleisure track pants
10004151,Roadster,Topwear,shirts,Men,4.87,5,4.3,988,roadster men sea green pure cotton sustainable casual shirt
10007705,HRX by Hrithik Roshan,Sports Wear,tights,Women,7.27,6,4,988,hrx by hrithik roshan black self striped seamless rapid dry yoga tights
10006041,SASSAFRAS,Western,trousers,Women,18.7,5,3.6,988,sassafras women olive green peg trousers
10009621,her by invictus,Western,tops,Women,7.83,7,4.2,988,her by invictus white  black floral monochrome smart casual top
10009681,StyleStone,Western,jackets,Women,6.89,7,4.2,988,stylestone women blue solid denim jacket
10017569,Mayra,Western,tops,Women,5.22,4,4.1,988,mayra women mustard yellow  green ditsy floral printed cinched waist top
