Sales_id,Product_id,Quantity,Coupon_code,abandoned
1,10017413,30,10XOR,2
2,10016283,34,10XSR,5
3,10009781,70,NO CODE,2
4,10015921,45,25H250,6
5,10017833,49,NO CODE,0
6,10014361,36,NO CODE,1
7,10017869,29,MARKS15,9
8,10009695,48,HOLS10,1
9,10000571,22,NO CODE,2
10,10017421,41,15EOY,0
11,10000911,37,NO CODE,1
12,10000245,23,NO CODE,7
13,10001989,28,NO CODE,2
14,10016727,34,10XOR,2
15,10017749,45,10XSR,1
16,1000795,36,15UNI,6
17,10003803,23,25H250,9
18,10012765,41,20ELLEE,5
19,10014413,46,10STELLA,1
20,10013483,42,MARKS15,1
21,10001265,41,HOLS10,9
22,10004155,20,5DAL,13
23,10012795,21,15EOY,12
24,10009723,42,NO CODE,4
25,10012853,24,NO CODE,7
26,10006001,66,NO CODE,2
27,10017377,26,10XOR,11
28,10015839,100,NO CODE,1
29,10003123,38,15UNI,11
30,10012767,37,NO CODE,11
31,10013041,45,NO CODE,8
32,10014831,21,10STELLA,1
33,10017831,34,NO CODE,4
34,10002713,23,NO CODE,8
35,10006029,42,5DAL,11
36,10005903,47,15EOY,6
37,10017781,75,NO CODE,3
38,10002151,29,NO CODE,2
39,10015989,34,NO CODE,9
40,10001111,32,NO CODE,6
41,10004151,21,NO CODE,9
42,10007705,34,NO CODE,2
43,10006041,37,NO CODE,11
44,10009621,47,NO CODE,6
45,10009681,48,NO CODE,3
46,10017569,40,10XOR,1
47,10001251,26,10XSR,3
48,10003199,30,NO CODE,1
49,10017405,32,25H250,10
50,10013687,41,NO CODE,2
51,10015163,76,NO CODE,3
52,1000710,24,MARKS15,4
53,10013541,23,HOLS10,9
54,10002833,50,NO CODE,6
55,10005915,39,15EOY,5
56,10002707,29,NO CODE,3
57,10012433,27,NO CODE,5
58,10012699,37,NO CODE,9
59,10012851,37,10XOR,17
60,10016755,27,NO CODE,4
61,10015159,42,15UNI,12
62,10013655,38,25H250,4
63,10012821,24,20ELLEE,5
64,10006073,23,NO CODE,2
65,10013491,47,NO CODE,4
66,10009773,22,HOLS10,1
67,10009643,44,5DAL,5
68,10015831,40,15EOY,5
69,10014675,22,NO CODE,4
70,10012761,47,NO CODE,9
71,10001887,39,NO CODE,1
72,10003179,34,10XOR,2
73,10003821,45,NO CODE,4
74,10017017,20,15UNI,2
75,10012721,40,NO CODE,4
76,10003341,26,NO CODE,8
77,10013417,39,10STELLA,5
78,10017923,50,NO CODE,5
79,10013665,45,NO CODE,1
80,10017595,45,5DAL,5
81,10000805,27,NO CODE,4
82,10012769,46,NO CODE,2
83,10007835,31,NO CODE,4
84,10012881,33,NO CODE,8
85,10013617,22,NO CODE,16
86,10007811,20,NO CODE,3
87,10017427,41,NO CODE,11
88,10017899,45,NO CODE,3
89,10017369,49,NO CODE,4
90,10017671,34,NO CODE,1
91,10007595,49,NO CODE,3
92,10004343,39,NO CODE,9
93,10007683,43,NO CODE,4
94,10007801,41,NO CODE,4
95,10002181,36,NO CODE,3
96,10012783,27,NO CODE,8
97,10003387,29,10XOR,11
98,10004053,20,10XSR,1
99,10017211,37,15UNI,3
100,10003299,26,25H250,3
101,10013569,39,20ELLEE,3
102,10017835,22,10STELLA,4
103,10017771,22,MARKS15,1
104,10006019,21,HOLS10,7
105,10002825,66,5DAL,9
106,10013703,56,15EOY,4
107,10012713,50,NO CODE,2
108,10012875,46,NO CODE,11
109,10015997,33,NO CODE,2
110,10012771,49,NO CODE,15
111,10013055,32,NO CODE,13
112,10003213,44,NO CODE,9
113,10014775,24,NO CODE,12
114,10002337,26,NO CODE,9
115,1000745,45,NO CODE,6
116,10009685,39,NO CODE,8
117,10012429,49,NO CODE,12
118,10017723,20,NO CODE,3
119,10017855,27,NO CODE,1
120,10013025,30,NO CODE,4
121,10001211,25,NO CODE,6
122,10006003,24,NO CODE,1
123,10012841,22,NO CODE,9
124,10017423,33,NO CODE,17
125,10000599,47,NO CODE,6
126,10002809,25,NO CODE,8
127,10013641,26,NO CODE,5
128,10000657,48,NO CODE,6
129,10005937,39,NO CODE,3
130,10001573,34,NO CODE,4
131,10003809,32,NO CODE,2
132,10006069,64,NO CODE,9
133,10017501,19,NO CODE,3
134,10002079,42,NO CODE,4
135,10003807,31,NO CODE,8
136,10004165,22,NO CODE,4
137,10013269,26,NO CODE,4
138,10006075,20,NO CODE,1
139,10009637,21,NO CODE,2
140,10017093,33,NO CODE,9
141,10017355,28,NO CODE,1
142,10017447,26,NO CODE,4
143,10017013,31,NO CODE,15
144,10017053,48,NO CODE,4
145,10017599,50,NO CODE,9
146,10002785,28,NO CODE,2
147,1000905,26,NO CODE,12
148,10001445,32,NO CODE,2
